,robot,Name_C,SNR_C,SUB,P_name,Curr_A1_LQ,Curr_A2_LQ,Curr_A3_LQ,Curr_A4_LQ,Curr_A5_LQ,Curr_A6_LQ,Curr_E1_LQ,Curr_A1_HQ,Curr_A2_HQ,Curr_A3_HQ,Curr_A4_HQ,Curr_A5_HQ,Curr_A6_HQ,Curr_E1_HQ,size,QH1,QL1,QH2,QL2,QH3,QL3,QH4,QL4,QH5,QL5,QH6,QL6,QH7,QL7
37,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,159,,XHOME,-6.23416901,-15.5601501,-5.67245483,-26.0801315,-10.2672577,-9.9105835,0.0,4.26054,30.5314064,16.5276527,16.5910721,7.32040405,25.4821777,0.0,1246,0.7658004699999998,2.8138160699999997,13.408184000000002,1.9454955999999992,4.051685300000001,5.572454830000001,2.473831200000001,7.9393387,1.1692047099999998,2.60066987,8.767128,3.8967132599999994,0.0,0.0
38,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,159,,XHOME,-6.23416901,-15.5601501,-5.67245483,-26.0801315,-10.2672577,-9.9105835,0.0,4.26054,30.5314064,16.5276527,16.5910721,7.32040405,25.4821777,0.0,1246,0.7658004699999998,2.8138160699999997,13.408184000000002,1.9454955999999992,4.051685300000001,5.572454830000001,2.473831200000001,7.9393387,1.1692047099999998,2.60066987,8.767128,3.8967132599999994,0.0,0.0
39,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,162,,,-0.586032867,11.657238,6.75773621,-0.719070435,1.31416321,0.150680542,0.0,-0.539302826,11.8846893,6.80160522,-0.210762024,1.7747879,0.383377075,0.0,3,0.0,0.48603286700000004,11.7846893,0.0,6.70160522,0.0,0.0,0.619070435,1.6747878999999999,0.0,0.283377075,0.0,0.0,0.0
40,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,36,,XHOME,-0.657558441,-4.46844101,6.4458847,-1.78527832,-0.325202942,-7.50923157,0.0,2.5806427,13.4959221,11.2333298,7.94792175,5.37014,0.595092773,0.0,323,2.4806426999999998,0.0,0.0,4.368441010000001,4.94909289,0.0,7.84792175,0.08106232000000002,4.17709343,0.225202942,0.13732910099999995,6.47735596,0.0,0.0
41,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,53,,,-0.525474548,11.7959976,6.87360764,-0.942230225,0.812530518,0.435829163,0.0,-0.448226929,12.4998093,6.939888,-0.901222229,0.816345215,0.472068787,0.0,2,0.0,0.012397766000000088,0.0,0.0,0.49352646,0.0,0.0,0.06961822499999992,0.37765502900000003,0.0,0.372068787,0.0,0.0,0.0
42,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,74,,XLHP005,-0.460624695,-13.449192,6.66856766,-1.23214722,0.595092773,-19.2480087,0.0,6.57653809,11.6481781,16.356945,20.5259323,10.4045868,0.541687,0.0,1014,0.6070137099999995,0.36062469499999994,7.098674770000001,4.383563949999999,1.1372565999999988,0.0,5.234718300000001,1.13214722,0.7038116500000005,0.0,0.44168700000000005,7.027626,0.0,0.0
43,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,85,/R1/DAI_STUDWELD_MAIN.SRC,XLHP010,1.98459625,-22.002697,9.94253159,-2.04277039,0.280380249,-11.5404129,0.0,7.64799118,0.689983368,22.9926109,12.3033524,6.28757477,1.31607056,0.0,1125,2.70557404,0.0,0.5899833680000001,9.1562271,7.496833799999999,0.0,5.37967686,0.8392333999999999,2.4766922,0.0,0.12874604,5.09166717,0.0,0.0
44,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,85,/R1/DAI_STUDWELD_MAIN.SRC,XLHP010,1.98459625,-22.002697,9.94253159,-2.04277039,0.280380249,-11.5404129,0.0,7.64799118,0.689983368,22.9926109,12.3033524,6.28757477,1.31607056,0.0,1125,2.70557404,0.0,0.5899833680000001,9.1562271,7.496833799999999,0.0,5.37967686,0.8392333999999999,2.4766922,0.0,0.12874604,5.09166717,0.0,0.0
45,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,96,/R1/DAI_STUDWELD_MAIN.SRC,XLHP011,0.570297241,-13.0929947,-0.329494476,-1.11198425,0.0782012939,-10.8127594,0.0,5.18608093,5.15413284,16.3369179,10.8423233,2.22396851,1.23214722,0.0,113,5.0860809300000005,0.0,5.05413284,12.9929947,16.236917899999998,0.22949447599999998,10.7423233,1.0119842499999998,2.12396851,0.0,1.13214722,10.7127594,0.0,0.0
46,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,96,/R1/DAI_STUDWELD_MAIN.SRC,XLHP011,0.570297241,-13.0929947,-0.329494476,-1.11198425,0.0782012939,-10.8127594,0.0,5.18608093,5.15413284,16.3369179,10.8423233,2.22396851,1.23214722,0.0,113,5.0860809300000005,0.0,5.05413284,12.9929947,16.236917899999998,0.22949447599999998,10.7423233,1.0119842499999998,2.12396851,0.0,1.13214722,10.7127594,0.0,0.0
